COMPANY_NAME,SERVICE,TRIGGER,ERR_TYPE,ERR_MESSAGE
David's Bridal,URL_SCRAPING_SERVICE,"",FormValidURL,"Exception for: form_valid_url, company: David's Bridal, url: , bad URI(is not URI?):  https://www.prnewswire.com/news-releases/davids-bridal-releases-q1-pearl-report-data-revealing-2021-wedding-trends-301274062.html  "
David's Bridal,URL_SCRAPING_SERVICE,scrape_destination_url,OpenURI,"Exception for: open_uri, company: David's Bridal, url: , private method `open' called for #<URI::Generic > "
David's Bridal,URL_SCRAPING_SERVICE,"",FormValidURL,"Exception for: form_valid_url, company: David's Bridal, url: , bad URI(is not URI?):  https://www.prnewswire.com/news-releases/davids-bridal-announces-appointment-of-companys-first-chief-digital-experience-officer-300978303.html "
David's Bridal,URL_SCRAPING_SERVICE,scrape_destination_url,OpenURI,"Exception for: open_uri, company: David's Bridal, url: , private method `open' called for #<URI::Generic > "
David's Bridal,GOOGLE_SEARCH_API_SERVICE,news_content,search_results_not_found,Not_found search_results: news_content
David's Bridal,NEWS_CONTENT_SERVICE,collect_news_content,news_content_not_found,News content not found
Del Taco,GOOGLE_SEARCH_API_SERVICE,news_content,search_results_not_found,Not_found search_results: news_content
Del Taco,NEWS_CONTENT_SERVICE,collect_news_content,news_content_not_found,News content not found
Delta Air Lines,HOMEPAGE_SERVICE,HomepageService,homepage_content_not_found,Homepage content not found
Delta Air Lines,ABOUT_US_SERVICE,scrape_about_us_urls,about_us_urls_not_found,About Us URLs not found
Delta Air Lines,PRESS_RELEASES_SERVICE,scrape_press_urls,press_urls_not_found,Press URLs not found
